AKPDBN_00025 	 PF16786
JGEKPN_00475 	 PF01569
JGEKPN_00480 	 PF15887;PF10005
JGEKPN_00500 	 PF01814
JGEKPN_00505 	 PF04226
JGEKPN_00525 	 PF04239
JGEKPN_00535 	 PF00999
JGEKPN_00540 	 PF09537
JGEKPN_00545 	 PF02518;PF00072
JGEKPN_00550 	 PF13091
JGEKPN_00555 	 PF01389
JGEKPN_00560 	 PF01594
JGEKPN_00565 	 PF14346;PF00691
JGEKPN_00570 	 PF14346
JGEKPN_00575 	 PF04972
JGEKPN_00580 	 PF00199;PF06628;PF18011
JGEKPN_00585 	 PF01814
JGEKPN_00590 	 PF01966
JGEKPN_00605 	 PF19335
JGEKPN_00615 	 PF01814
JGEKPN_00620 	 PF00309;PF04963;PF04552
JGEKPN_00625 	 PF07804
JGEKPN_00640 	 PF01594
JGEKPN_00645 	 PF01814
JGEKPN_00650 	 PF00571
JGEKPN_00660 	 PF05170
JGEKPN_00665 	 PF00589
JGEKPN_00680 	 PF05023
JGEKPN_00700 	 PF00903
JGEKPN_00705 	 PF12833
JGEKPN_00715 	 PF14026
JGEKPN_00720 	 PF13191;PF00196
JGEKPN_00725 	 PF07237
JGEKPN_00750 	 PF00126;PF03466
JGEKPN_00755 	 PF08002
JGEKPN_00760 	 PF03795
JGEKPN_00765 	 PF05232
JGEKPN_00775 	 PF03795
JGEKPN_00780 	 PF07690
JGEKPN_00785 	 PF04679;PF01068;PF13298
JGEKPN_00790 	 PF02735
JGEKPN_00795 	 PF02735
JGEKPN_00800 	 PF07992
JGEKPN_00805 	 PF02954;PF00072;PF00158
JGEKPN_00820 	 PF13185;PF02518;PF00512;PF08447;PF08448;PF13426;PF00072
JGEKPN_00825 	 PF02563;PF10531
JGEKPN_00830 	 PF01656;PF13807;PF02706
JGEKPN_00835 	 PF01943
JGEKPN_00840 	 PF00535
JGEKPN_00850 	 PF14305
JGEKPN_00855 	 PF08544;PF00288
JGEKPN_00860 	 PF13580
JGEKPN_00865 	 PF00483
JGEKPN_00870 	 PF13439;PF00534
JGEKPN_00875 	 PF13439
JGEKPN_00880 	 PF00534
JGEKPN_00885 	 PF02397
JGEKPN_00890 	 PF12708
JGEKPN_00900 	 PF13628
JGEKPN_00905 	 PF01051
JGEKPN_00910 	 PF13614
JGEKPN_00915 	 PF02195;PF18090
JGEKPN_00920 	 PF12482;PF00589
JGEKPN_00925 	 PF04828
JGEKPN_00945 	 PF00689;PF00690
JGEKPN_00960 	 PF00583
JGEKPN_00970 	 PF02146
JGEKPN_01010 	 PF16864;PF00891
JGEKPN_01015 	 PF00196
JGEKPN_01020 	 PF00389;PF02826
JGEKPN_01025 	 PF03401
JGEKPN_01030 	 PF13378;PF02746
JGEKPN_01035 	 PF00701
JGEKPN_01040 	 PF00126;PF03466
JGEKPN_01045 	 PF07978
JGEKPN_01055 	 PF09423;PF16655
JGEKPN_01070 	 PF14534
JGEKPN_01075 	 PF09350
JGEKPN_01080 	 PF05787
JGEKPN_01085 	 PF09423;PF16655
JGEKPN_01090 	 PF07452
JGEKPN_01095 	 PF01590;PF02954;PF00158
JGEKPN_01105 	 PF07883
JGEKPN_01110 	 PF00126;PF03466
JGEKPN_01125 	 PF01965;PF12833
JGEKPN_01130 	 PF04116
JGEKPN_01155 	 PF13416
JGEKPN_01160 	 PF00672;PF02518;PF00512;PF08448;PF00072
DDENJG_00010 	 PF08774
DDENJG_00025 	 PF10544
DDENJG_00045 	 PF13860
DDENJG_00080 	 PF04466
DDENJG_00090 	 PF16510
DDENJG_00095 	 PF09306
DDENJG_00100 	 PF11651
DDENJG_00110 	 PF08241
DDENJG_00115 	 PF08241
DDENJG_00120 	 PF11650
DDENJG_00125 	 PF11134
DDENJG_00130 	 PF16191;PF16190;PF09358;PF00899;PF10585
DDENJG_00170 	 PF13229
DDENJG_00180 	 PF13539
DDENJG_00300 	 PF01555
DDENJG_00305 	 PF00805
MAHNGD_00060 	 PF13539
MAHNGD_00150 	 PF00271;PF04851
MAHNGD_00165 	 PF05037
MAHNGD_00180 	 PF13148
MAHNGD_00190 	 PF13148;PF09250
MAHNGD_00215 	 PF05869
MAHNGD_00250 	 PF17289
MAHNGD_00260 	 PF04233
MAHNGD_00265 	 PF04586
MAHNGD_00270 	 PF05065
MAHNGD_00295 	 PF05521
MAHNGD_00305 	 PF04883
MAHNGD_00310 	 PF11367
MAHNGD_00315 	 PF06199
MAHNGD_00320 	 PF06199
ADAHHH_00020 	 PF14359
ADAHHH_00035 	 PF00145
ADAHHH_00105 	 PF13986
ADAHHH_00110 	 PF00589
ADAHHH_00125 	 PF20137
ADAHHH_00130 	 PF00959
ADAHHH_00170 	 PF20155
ADAHHH_00190 	 PF03864
ADAHHH_00195 	 PF02924
ADAHHH_00200 	 PF01343
ADAHHH_00235 	 PF05136
ADAHHH_00300 	 PF13392
ADAHHH_00325 	 PF00772;PF03796
ADAHHH_00330 	 PF07120
ADAHHH_00335 	 PF03551
ADAHHH_00370 	 PF15943
ADAHHH_00375 	 PF01381
ADAHHH_00420 	 PF09588
ADAHHH_00425 	 PF09588
ADAHHH_00430 	 PF03837
OLCMHF_00015 	 PF16786
OLCMHF_00040 	 PF01555
OLCMHF_00045 	 PF01555
OLCMHF_00060 	 PF17289
OLCMHF_00065 	 PF17289
OLCMHF_00070 	 PF16510
OLCMHF_00075 	 PF16510
OLCMHF_00095 	 PF11651
OLCMHF_00130 	 PF11134
OLCMHF_00170 	 PF00847;PF13392
OLCMHF_00225 	 PF09008;PF12708
OLCMHF_00265 	 PF13539
OLCMHF_00270 	 PF11351
OLCMHF_00365 	 PF00436
OLCMHF_00375 	 PF09588
OLCMHF_00380 	 PF04404
OLCMHF_00405 	 PF20081
KJHIEP_00030 	 PF11367
KJHIEP_00045 	 PF05521
KJHIEP_00060 	 PF05065
KJHIEP_00065 	 PF05065
KJHIEP_00070 	 PF04586
KJHIEP_00075 	 PF04860
KJHIEP_00080 	 PF03354;PF20441
KJHIEP_00085 	 PF03354;PF20441
KJHIEP_00095 	 PF05119
KJHIEP_00195 	 PF05866
KJHIEP_00255 	 PF01555
KJHIEP_00260 	 PF01555
KJHIEP_00285 	 PF01381;PF00717
KJHIEP_00330 	 PF04404
KJHIEP_00335 	 PF00436
KJHIEP_00340 	 PF10108
KJHIEP_00380 	 PF00959
IDFAFF_00095 	 PF18798;PF18819;PF18812
IDFAFF_00150 	 PF00959
IDFAFF_00170 	 PF00176
IDFAFF_00175 	 PF14528
IDFAFF_00200 	 PF13876
IDFAFF_00205 	 PF10926
IDFAFF_00215 	 PF10926
IDFAFF_00265 	 PF09250
IDFAFF_00310 	 PF12236
IDFAFF_00335 	 PF00150
BAPCCK_00055 	 PF01381
BAPCCK_00075 	 PF05565
BAPCCK_00080 	 PF03837
BAPCCK_00170 	 PF03592
BAPCCK_00200 	 PF00583
BAPCCK_00210 	 PF12236
BAPCCK_00270 	 PF16190
DGJJDM_00005 	 PF00805
DGJJDM_00035 	 PF03837
DGJJDM_00040 	 PF09588
DGJJDM_00060 	 PF15943
DGJJDM_00075 	 PF02195
DGJJDM_00085 	 PF00271;PF05203;PF04851
DGJJDM_00090 	 PF13362
DGJJDM_00110 	 PF05772
DGJJDM_00115 	 PF16786
DGJJDM_00150 	 PF05876
DGJJDM_00155 	 PF05876
DGJJDM_00165 	 PF12961
DGJJDM_00180 	 PF01471
DGJJDM_00190 	 PF01258
DGJJDM_00250 	 PF04860
DGJJDM_00265 	 PF05662
DGJJDM_00355 	 PF00436
DGJJDM_00430 	 PF18823
DGJJDM_00435 	 PF00722
DGJJDM_00450 	 PF00271
DGJJDM_00460 	 PF13892;PF00271;PF00176
DGJJDM_00470 	 PF01844
DGJJDM_00550 	 PF00622
DGJJDM_00645 	 PF04865
DGJJDM_00705 	 PF00589
DGJJDM_00710 	 PF08346
FFEGGM_00045 	 PF04404
FFEGGM_00060 	 PF10073
FFEGGM_00090 	 PF00271;PF04851
FFEGGM_00095 	 PF08273;PF13362
FFEGGM_00110 	 PF03592
FFEGGM_00115 	 PF04466;PF17288
FFEGGM_00120 	 PF16510
FFEGGM_00160 	 PF11134
FFEGGM_00225 	 PF11860
FFEGGM_00255 	 PF12762;PF12760
FFEGGM_00285 	 PF06442
FFEGGM_00365 	 PF00589
FFEGGM_00370 	 PF12728
FFEGGM_00395 	 PF01844
HNCFJG_00010 	 PF13262
HNCFJG_00065 	 PF18352
HNCFJG_00075 	 PF04865
HNCFJG_00080 	 PF11041
HNCFJG_00130 	 PF05257
HNCFJG_00175 	 PF10991
HNCFJG_00180 	 PF10926
HNCFJG_00195 	 PF00271;PF04851
HNCFJG_00200 	 PF01555
HNCFJG_00210 	 PF19263
HNCFJG_00230 	 PF05869
HNCFJG_00260 	 PF03592
HNCFJG_00270 	 PF06381
HNCFJG_00275 	 PF06381
HNCFJG_00280 	 PF04233
HNCFJG_00305 	 PF09950
IEKOFL_00015 	 PF11651
IEKOFL_00025 	 PF11651
IEKOFL_00065 	 PF16510
IEKOFL_00070 	 PF16510
IEKOFL_00095 	 PF04466;PF17288
IEKOFL_00100 	 PF04466;PF17288
IEKOFL_00180 	 PF07120
IEKOFL_00225 	 PF00805
IEKOFL_00230 	 PF19062;PF00805
IEKOFL_00255 	 PF04098
IEKOFL_00270 	 PF16786
IEKOFL_00305 	 PF00959
IEKOFL_00335 	 PF13229
IEKOFL_00375 	 PF11134
DPCDMC_00075 	 PF00583
DPCDMC_00080 	 PF18454
DPCDMC_00100 	 PF11651
DPCDMC_00110 	 PF04466
DPCDMC_00125 	 PF03592
DPCDMC_00140 	 PF13362
DPCDMC_00160 	 PF05272
DPCDMC_00165 	 PF12965;PF05272
DPCDMC_00175 	 PF05037
DPCDMC_00180 	 PF13538
DPCDMC_00190 	 PF16473
DPCDMC_00200 	 PF00145
DPCDMC_00205 	 PF00145
DPCDMC_00245 	 PF20530
EOLEOD_00050 	 PF00226
EOLEOD_00065 	 PF00476
EOLEOD_00075 	 PF00271;PF00176
EOLEOD_00085 	 PF00004
EOLEOD_00090 	 PF12705
EOLEOD_00110 	 PF09967;PF13203
EOLEOD_00135 	 PF07728
EOLEOD_00205 	 PF19263
EOLEOD_00270 	 PF17289
EOLEOD_00285 	 PF11195
EOLEOD_00295 	 PF13252
EOLEOD_00335 	 PF08447
EOLEOD_00340 	 PF00959
EOLEOD_00455 	 PF17975
EOLEOD_00475 	 PF17720
EOLEOD_00485 	 PF02511
EOLEOD_00495 	 PF17338
KGGHBJ_00005 	 PF11351
KGGHBJ_00065 	 PF11195
KGGHBJ_00070 	 PF08774
KGGHBJ_00095 	 PF00271;PF04851
KGGHBJ_00105 	 PF05037
KGGHBJ_00140 	 PF04466;PF17288
KGGHBJ_00145 	 PF16510
KGGHBJ_00155 	 PF11651
KGGHBJ_00170 	 PF11650
KGGHBJ_00185 	 PF11134
KGGHBJ_00205 	 PF00856
KGGHBJ_00220 	 PF01464
KGGHBJ_00260 	 PF13539
LGGMED_00010 	 PF16510
LGGMED_00035 	 PF04466;PF17288
LGGMED_00040 	 PF01610;PF13542;PF14690
LGGMED_00130 	 PF05772
LGGMED_00140 	 PF02945
LGGMED_00145 	 PF20081
LGGMED_00195 	 PF19174
LGGMED_00230 	 PF05118
LGGMED_00280 	 PF11650
LGGMED_00310 	 PF11651
LGGMED_00330 	 PF16510
LGGMED_00335 	 PF16510
HNBBME_00020 	 PF01555
HNBBME_00025 	 PF02357
HNBBME_00045 	 PF07750
HNBBME_00075 	 PF00847;PF13392
HNBBME_00080 	 PF00717
HNBBME_00130 	 PF04098
HNBBME_00135 	 PF05772
HNBBME_00160 	 PF01402
HNBBME_00215 	 PF00589
HNBBME_00265 	 PF13539
HNBBME_00280 	 PF13229
HNBBME_00345 	 PF11134
HNBBME_00365 	 PF13252
HNBBME_00380 	 PF04466;PF17288
DBJKNJ_00020 	 PF01189;PF01029
DBJKNJ_00030 	 PF13392
DBJKNJ_00035 	 PF18796;PF18857;PF18819
DBJKNJ_00075 	 PF13356
DBJKNJ_00080 	 PF13392;PF07463
DBJKNJ_00165 	 PF01610;PF14690
DBJKNJ_00170 	 PF03374;PF09669
DBJKNJ_00220 	 PF12684
DBJKNJ_00245 	 PF07589
DBJKNJ_00255 	 PF01047
DBJKNJ_00260 	 PF04480
DBJKNJ_00280 	 PF00772;PF03796
DBJKNJ_00365 	 PF14301
DBJKNJ_00370 	 PF05708
DBJKNJ_00385 	 PF00182
DBJKNJ_00390 	 PF00959
DBJKNJ_00425 	 PF13252
DBJKNJ_00430 	 PF13252
DBJKNJ_00445 	 PF20387
AJKMEC_00015 	 PF01541;PF07460
AJKMEC_00050 	 PF08813
AJKMEC_00055 	 PF08748
AJKMEC_00060 	 PF08809
AJKMEC_00065 	 PF10145
AJKMEC_00070 	 PF09343
AJKMEC_00075 	 PF09931;PF09356
AJKMEC_00080 	 PF00877
AJKMEC_00085 	 PF13550
AJKMEC_00095 	 PF00959
AJKMEC_00100 	 PF07087
AJKMEC_00105 	 PF02511
AJKMEC_00110 	 PF00383
AJKMEC_00120 	 PF13476;PF02463
AJKMEC_00145 	 PF01068;PF14743
AJKMEC_00160 	 PF02739;PF00476
AJKMEC_00180 	 PF01555
AJKMEC_00185 	 PF01555
AJKMEC_00215 	 PF12843;PF00929
AJKMEC_00235 	 PF04545
AJKMEC_00285 	 PF00271;PF00176
AJKMEC_00335 	 PF02272
AJKMEC_00365 	 PF12323;PF01385;PF07282
AJKMEC_00455 	 PF04002
AJKMEC_00515 	 PF08346
AJKMEC_00565 	 PF05876
AJKMEC_00610 	 PF01343
NOAAAE_00010 	 PF06199
NOAAAE_00015 	 PF11367
NOAAAE_00025 	 PF05521
NOAAAE_00030 	 PF05135
NOAAAE_00045 	 PF05065
NOAAAE_00050 	 PF04586
NOAAAE_00065 	 PF04466;PF17288
NOAAAE_00085 	 PF00005
NOAAAE_00090 	 PF02195
NOAAAE_00130 	 PF13362
NOAAAE_00160 	 PF01139
NOAAAE_00245 	 PF11730;PF01844
NOAAAE_00275 	 PF11730;PF01844
NOAAAE_00320 	 PF13550
OFEFHM_00125 	 PF01464
OFEFHM_00170 	 PF01464
OFEFHM_00180 	 PF02899;PF00589
OFEFHM_00185 	 PF08774
AGIHMI_00080 	 PF00271;PF04851
AGIHMI_00095 	 PF08774
AGIHMI_00100 	 PF00959
AGIHMI_00105 	 PF07087
AGIHMI_00125 	 PF10983
AGIHMI_00240 	 PF00313
AGIHMI_00250 	 PF00772;PF03796
OMHCKD_00025 	 PF08965
OMHCKD_00120 	 PF01555
OMHCKD_00130 	 PF00436
OMHCKD_00135 	 PF09588
OMHCKD_00170 	 PF01695
OMHCKD_00180 	 PF05866
OMHCKD_00195 	 PF04466
OMHCKD_00200 	 PF04466;PF17288
OMHCKD_00205 	 PF06381
OMHCKD_00220 	 PF04233
OMHCKD_00290 	 PF11863
OMHCKD_00300 	 PF11863
OMHCKD_00305 	 PF11681
OMHCKD_00310 	 PF11681
OMHCKD_00355 	 PF18946;PF18352
OMHCKD_00370 	 PF11041
BACJCB_00025 	 PF14099
BACJCB_00035 	 PF04233
BACJCB_00055 	 PF20557
BACJCB_00070 	 PF04883
BACJCB_00075 	 PF13554
BACJCB_00080 	 PF13392
BACJCB_00085 	 PF08813
BACJCB_00090 	 PF08748
BACJCB_00095 	 PF08809
BACJCB_00100 	 PF06791
BACJCB_00105 	 PF20155
BACJCB_00150 	 PF07505
BACJCB_00270 	 PF00145
BACJCB_00365 	 PF05866
BACJCB_00390 	 PF13264
KIAGML_00055 	 PF13272
KIAGML_00060 	 PF01464
KIAGML_00100 	 PF09889
KIAGML_00145 	 PF06067
KIAGML_00175 	 PF09414
KIAGML_00180 	 PF17338
KIAGML_00235 	 PF00476
KIAGML_00245 	 PF00271;PF00176
KIAGML_00290 	 PF12705
KIAGML_00295 	 PF13411;PF00239
KIAGML_00300 	 PF19263
KIAGML_00305 	 PF19263
KIAGML_00385 	 PF14216
KIAGML_00405 	 PF17289
KIAGML_00425 	 PF13252
PLKKHO_00020 	 PF17289
PLKKHO_00030 	 PF04233
PLKKHO_00035 	 PF04586
PLKKHO_00040 	 PF05065
PLKKHO_00065 	 PF05521
PLKKHO_00075 	 PF04883
PLKKHO_00080 	 PF11367
PLKKHO_00085 	 PF06199
PLKKHO_00090 	 PF06199
PLKKHO_00150 	 PF13539
PLKKHO_00245 	 PF00271;PF04851
PLKKHO_00260 	 PF05037
PLKKHO_00280 	 PF09250
PLKKHO_00285 	 PF13148;PF09250
PLKKHO_00290 	 PF13148;PF08707;PF09250
PLKKHO_00315 	 PF05869
BCOBGC_00030 	 PF13229;PF03906
BCOBGC_00065 	 PF00583
BCOBGC_00085 	 PF19821
BCOBGC_00105 	 PF12236
BCOBGC_00125 	 PF05866
BCOBGC_00130 	 PF00772
BCOBGC_00140 	 PF15943
BCOBGC_00170 	 PF12684
BCOBGC_00210 	 PF01555
BCOBGC_00230 	 PF01555
BCOBGC_00235 	 PF13539
BCOBGC_00245 	 PF06035
GIIHGH_00005 	 PF13472
GIIHGH_00025 	 PF00182
GIIHGH_00100 	 PF01555
GIIHGH_00130 	 PF00436
GIIHGH_00135 	 PF09588
GIIHGH_00140 	 PF04404
GIIHGH_00155 	 PF17420
GIIHGH_00200 	 PF00308;PF08299
GIIHGH_00205 	 PF06356
GIIHGH_00230 	 PF04466;PF17288
GIIHGH_00235 	 PF16510
GIIHGH_00240 	 PF16510
GIIHGH_00255 	 PF20106
GIIHGH_00265 	 PF11650
GIIHGH_00280 	 PF11134
