FDBLHH_00010 	 PF04466
AEOJHI_00085 	 PF10073
AEOJHI_00090 	 PF05772
AEOJHI_00095 	 PF01726;PF00717
AEOJHI_00125 	 PF02272
AEOJHI_00185 	 PF00182
AEOJHI_00270 	 PF11134
AEOJHI_00280 	 PF11650
AEOJHI_00285 	 PF11651
AEOJHI_00305 	 PF16510
AEOJHI_00310 	 PF04466;PF17289
AEOJHI_00325 	 PF08299
JEDHOM_00145 	 PF16677
JEDHOM_00200 	 PF00772;PF03796
JEDHOM_00205 	 PF04404
JEDHOM_00210 	 PF12705
JEDHOM_00325 	 PF06356
JEDHOM_00345 	 PF13521
JEDHOM_00355 	 PF01520
CKKDKH_00085 	 PF04466
CKKDKH_00120 	 PF13252
CKKDKH_00125 	 PF13252
CKKDKH_00210 	 PF18814
CKKDKH_00235 	 PF01551
CKKDKH_00285 	 PF13392;PF07463
CKKDKH_00295 	 PF08774
CKKDKH_00315 	 PF01555
CKKDKH_00320 	 PF01555
CKKDKH_00335 	 PF09643
CKKDKH_00365 	 PF12762;PF12760
IHEHHD_00010 	 PF18857
IHEHHD_00275 	 PF01555
IHEHHD_00285 	 PF00772;PF03796
IHEHHD_00300 	 PF13392
IHEHHD_00330 	 PF04404
IHEHHD_00335 	 PF04404
IHEHHD_00340 	 PF09588
IHEHHD_00385 	 PF07505
IHEHHD_00410 	 PF00589
IHEHHD_00420 	 PF03245
BEFKDO_00110 	 PF14284
BEFKDO_00115 	 PF00589
BEFKDO_00135 	 PF05772
BEFKDO_00145 	 PF10073
BEFKDO_00150 	 PF00436
BEFKDO_00155 	 PF10108
BEFKDO_00160 	 PF04404
BEFKDO_00170 	 PF19062;PF00805
BEFKDO_00225 	 PF05866
BEFKDO_00260 	 PF03592
BEFKDO_00265 	 PF17289
BEFKDO_00270 	 PF16510
BEFKDO_00275 	 PF16510
BEFKDO_00280 	 PF09306
BEFKDO_00285 	 PF11651
BEFKDO_00295 	 PF11650
BEFKDO_00300 	 PF11134
OCGHEF_00005 	 PF06381
OCGHEF_00015 	 PF04233
OCGHEF_00040 	 PF09950
OCGHEF_00050 	 PF13262
OCGHEF_00105 	 PF18352
OCGHEF_00115 	 PF04865
OCGHEF_00120 	 PF11041
OCGHEF_00170 	 PF05257
OCGHEF_00225 	 PF10926
OCGHEF_00240 	 PF00271;PF04851
OCGHEF_00245 	 PF01555
OCGHEF_00255 	 PF19263
OCGHEF_00275 	 PF05869
OCGHEF_00305 	 PF03592
OCGHEF_00315 	 PF06381
OCGHEF_00320 	 PF06381
OCGHEF_00325 	 PF04233
OCGHEF_00350 	 PF09950
OCGHEF_00360 	 PF13262
OCGHEF_00415 	 PF18352
OCGHEF_00420 	 PF18352
OCGHEF_00430 	 PF04865
OCGHEF_00435 	 PF11041
OCGHEF_00485 	 PF05257
OCGHEF_00545 	 PF10926
OCGHEF_00560 	 PF00271;PF04851
OCGHEF_00565 	 PF01555
OCGHEF_00580 	 PF19263
OCGHEF_00600 	 PF05869
OCGHEF_00605 	 PF05869
APDCNM_00070 	 PF03592
APDCNM_00100 	 PF00583
APDCNM_00110 	 PF12236
APDCNM_00165 	 PF16190
APDCNM_00185 	 PF07484
APDCNM_00240 	 PF05565
APDCNM_00245 	 PF03837
BELDJD_00065 	 PF11134
BELDJD_00070 	 PF11134
BELDJD_00090 	 PF11650
BELDJD_00105 	 PF11651
BELDJD_00115 	 PF16510
BELDJD_00120 	 PF04466;PF17288
BELDJD_00130 	 PF01555;PF02195
BELDJD_00135 	 PF19905
BELDJD_00160 	 PF05037
BELDJD_00170 	 PF00271;PF04851
BELDJD_00190 	 PF08774
BELDJD_00255 	 PF11351
BELDJD_00265 	 PF13539
PCGAAD_00010 	 PF00182
PCGAAD_00040 	 PF13252
PCGAAD_00055 	 PF20387
PCGAAD_00110 	 PF13356;PF00589
PCGAAD_00115 	 PF13392;PF07463
PCGAAD_00200 	 PF01610;PF14690
PCGAAD_00205 	 PF03374;PF09669
PCGAAD_00260 	 PF12684
PCGAAD_00280 	 PF07589
PCGAAD_00290 	 PF01047
PCGAAD_00295 	 PF04480
PCGAAD_00305 	 PF00772;PF03796
PCGAAD_00375 	 PF14301
PCGAAD_00380 	 PF05708
HEKPEL_00035 	 PF07486
HEKPEL_00110 	 PF02899;PF00589
HEKPEL_00115 	 PF02899;PF00589
HEKPEL_00200 	 PF02613;PF15943
HEKPEL_00205 	 PF01381;PF10544
HEKPEL_00215 	 PF00145
HEKPEL_00270 	 PF13392;PF07463
HEKPEL_00275 	 PF05866
HEKPEL_00285 	 PF10544
HEKPEL_00305 	 PF04404
HEKPEL_00320 	 PF13662
HEKPEL_00325 	 PF13662
HEKPEL_00330 	 PF00436
HEKPEL_00365 	 PF03592
HEKPEL_00375 	 PF13392
HEKPEL_00380 	 PF17289
HEKPEL_00475 	 PF07679
KMNMED_00020 	 PF07505
KMNMED_00065 	 PF00717
KMNMED_00120 	 PF00772;PF03796
KMNMED_00155 	 PF07102
KMNMED_00190 	 PF00182
KMNMED_00200 	 PF20137
KMNMED_00210 	 PF03592
KMNMED_00215 	 PF03592
KMNMED_00240 	 PF13252
KMNMED_00270 	 PF02018
KMNMED_00310 	 PF09669
KMNMED_00335 	 PF00589
KMNMED_00350 	 PF14216
KMNMED_00385 	 PF00145
KMNMED_00415 	 PF11195
KMNMED_00430 	 PF09588
OHIAEP_00020 	 PF02867
OHIAEP_00025 	 PF02867
OHIAEP_00030 	 PF13392
OHIAEP_00040 	 PF02511
OHIAEP_00060 	 PF09152
OHIAEP_00065 	 PF18909
OHIAEP_00085 	 PF02739
OHIAEP_00110 	 PF00476;PF01612
OHIAEP_00130 	 PF00476;PF01612
OHIAEP_00135 	 PF00476;PF01612
OHIAEP_00150 	 PF03796
OHIAEP_00170 	 PF09414
OHIAEP_00175 	 PF09414
OHIAEP_00230 	 PF14395
OHIAEP_00240 	 PF07722
OHIAEP_00255 	 PF00383
OHIAEP_00315 	 PF11351
OHIAEP_00335 	 PF00166
OHIAEP_00420 	 PF13229
NHDNGA_00045 	 PF05065
NHDNGA_00055 	 PF05069
NHDNGA_00085 	 PF01464
NHDNGA_00130 	 PF01464
NHDNGA_00140 	 PF02899;PF00589
NHDNGA_00145 	 PF08774
NHDNGA_00310 	 PF01410;PF01391
ANGPBH_00035 	 PF13362
ANGPBH_00075 	 PF01139
ANGPBH_00155 	 PF11730;PF01844
ANGPBH_00170 	 PF00959;PF08239
ANGPBH_00215 	 PF13550
ANGPBH_00255 	 PF06199
ANGPBH_00260 	 PF11367
ANGPBH_00270 	 PF05521
ANGPBH_00275 	 PF05135
ANGPBH_00290 	 PF05065
ANGPBH_00295 	 PF04586
ANGPBH_00315 	 PF04466;PF17288
ANGPBH_00335 	 PF02195
INGLAJ_00010 	 PF11134
INGLAJ_00015 	 PF11134
INGLAJ_00080 	 PF09008;PF12708
INGLAJ_00095 	 PF13539
INGLAJ_00190 	 PF05037
INGLAJ_00230 	 PF09250
INGLAJ_00255 	 PF13362
INGLAJ_00275 	 PF04466;PF17288
INGLAJ_00280 	 PF16510
INGLAJ_00320 	 PF11651
EJEOCO_00010 	 PF09979
EJEOCO_00020 	 PF09950
EJEOCO_00030 	 PF13262
EJEOCO_00065 	 PF18013
EJEOCO_00085 	 PF18352
EJEOCO_00095 	 PF04865
EJEOCO_00100 	 PF11041
EJEOCO_00140 	 PF13884
EJEOCO_00150 	 PF01510;PF01476
EJEOCO_00195 	 PF09588
EJEOCO_00220 	 PF13538
EJEOCO_00240 	 PF00271;PF04851
EJEOCO_00275 	 PF06319
EJEOCO_00360 	 PF03592
EJEOCO_00370 	 PF06381
EJEOCO_00385 	 PF04233
HALMIP_00050 	 PF19263
HALMIP_00115 	 PF07728
HALMIP_00135 	 PF09967;PF13203
HALMIP_00150 	 PF12705
HALMIP_00155 	 PF00004
HALMIP_00165 	 PF00271;PF00176
HALMIP_00180 	 PF00476
HALMIP_00195 	 PF00226
HALMIP_00245 	 PF17338
HALMIP_00260 	 PF02511
HALMIP_00275 	 PF17720
HALMIP_00295 	 PF17975
HALMIP_00315 	 PF00169
HALMIP_00370 	 PF00959
HALMIP_00375 	 PF08447
HALMIP_00415 	 PF13252
HALMIP_00425 	 PF11195
HALMIP_00440 	 PF17289
DAEGAL_00040 	 PF17482
DAEGAL_00105 	 PF05133
DAEGAL_00145 	 PF18454
DAEGAL_00150 	 PF18454;PF05593
DAEGAL_00165 	 PF01381
DAEGAL_00245 	 PF14657;PF14659;PF00589
DAEGAL_00290 	 PF12684
DAEGAL_00310 	 PF13539
DAEGAL_00335 	 PF04865
DAEGAL_00340 	 PF04965
DNGHIJ_00020 	 PF13362
DNGHIJ_00030 	 PF13362
DNGHIJ_00045 	 PF09250
DNGHIJ_00065 	 PF05037
DNGHIJ_00095 	 PF00271;PF04851
DNGHIJ_00100 	 PF00271;PF04851
DNGHIJ_00145 	 PF01555
DNGHIJ_00180 	 PF13539
DNGHIJ_00210 	 PF04865
DNGHIJ_00215 	 PF04865
DNGHIJ_00230 	 PF18352
DNGHIJ_00275 	 PF11681
DNGHIJ_00280 	 PF11863
DNGHIJ_00285 	 PF11863
DNGHIJ_00310 	 PF13262
DNGHIJ_00320 	 PF09950
DNGHIJ_00335 	 PF09979
DNGHIJ_00345 	 PF04233
DNGHIJ_00350 	 PF06381
DNGHIJ_00360 	 PF17289
GCGMFL_00025 	 PF07750
GCGMFL_00055 	 PF00847;PF13392
GCGMFL_00065 	 PF00717
GCGMFL_00105 	 PF04098
GCGMFL_00110 	 PF05772
GCGMFL_00125 	 PF13935
GCGMFL_00135 	 PF01402
GCGMFL_00195 	 PF00589
GCGMFL_00240 	 PF13539
GCGMFL_00255 	 PF13229
GCGMFL_00305 	 PF05838
GCGMFL_00320 	 PF11134
GCGMFL_00340 	 PF13252
GCGMFL_00355 	 PF04466;PF17288
GCGMFL_00375 	 PF01555
GCGMFL_00380 	 PF02357
FCAGKN_00045 	 PF07498
FCAGKN_00080 	 PF12236
FCAGKN_00085 	 PF12236
FCAGKN_00120 	 PF08707;PF05272
FCAGKN_00125 	 PF05272
FCAGKN_00135 	 PF19263;PF09250
FCAGKN_00140 	 PF01555
FCAGKN_00145 	 PF18836
FCAGKN_00165 	 PF10926
FCAGKN_00175 	 PF10926
FCAGKN_00180 	 PF10991
FCAGKN_00220 	 PF00476
FCAGKN_00225 	 PF01612
FCAGKN_00245 	 PF00176
FCAGKN_00270 	 PF01844
FCAGKN_00285 	 PF00959
FCAGKN_00335 	 PF18798;PF18819;PF18812
FCAGKN_00340 	 PF18834
FCAGKN_00345 	 PF01464
NMFIBN_00005 	 PF12236
NMFIBN_00075 	 PF01464
NMFIBN_00090 	 PF18798;PF18819;PF18812
NMFIBN_00155 	 PF00176
NMFIBN_00175 	 PF00847;PF13392
NMFIBN_00200 	 PF00476
NMFIBN_00215 	 PF10926
NMFIBN_00260 	 PF01381
NMFIBN_00265 	 PF01555
NMFIBN_00270 	 PF08707
NMFIBN_00290 	 PF03592
NMFIBN_00310 	 PF12236
FEACAP_00005 	 PF00271;PF13020;PF00176
FEACAP_00015 	 PF01844
FEACAP_00095 	 PF00622
FEACAP_00195 	 PF04865
FEACAP_00235 	 PF07995
FEACAP_00255 	 PF00589
FEACAP_00280 	 PF00805
FEACAP_00305 	 PF03837
FEACAP_00310 	 PF09588
FEACAP_00350 	 PF00271;PF05203;PF04851
FEACAP_00355 	 PF13362
FEACAP_00375 	 PF05772
FEACAP_00380 	 PF16786
FEACAP_00420 	 PF05876
FEACAP_00425 	 PF05876
FEACAP_00435 	 PF12961
FEACAP_00450 	 PF00182;PF01471
FEACAP_00520 	 PF04860
FEACAP_00620 	 PF00436
FEACAP_00695 	 PF18823
FEACAP_00700 	 PF00722
FEACAP_00715 	 PF00271
CLMCCE_00090 	 PF07120
CLMCCE_00100 	 PF08299
CLMCCE_00255 	 PF00589
CLMCCE_00325 	 PF07484
CLMCCE_00455 	 PF05050;PF01973
CKCNCE_00010 	 PF01555
CKCNCE_00050 	 PF12684
CKCNCE_00080 	 PF15943
CKCNCE_00085 	 PF00772
CKCNCE_00090 	 PF05866
CKCNCE_00110 	 PF12236
CKCNCE_00135 	 PF19821
CKCNCE_00155 	 PF00583
CKCNCE_00190 	 PF13229;PF03906
CKCNCE_00205 	 PF06035
CKCNCE_00215 	 PF13539
JNLLNN_00040 	 PF11860
JNLLNN_00070 	 PF10983
JNLLNN_00085 	 PF08291
JNLLNN_00090 	 PF13392
JNLLNN_00105 	 PF11134
JNLLNN_00110 	 PF11650
JNLLNN_00115 	 PF11651
JNLLNN_00135 	 PF16510
JNLLNN_00140 	 PF04466;PF17288
JNLLNN_00180 	 PF01555
JNLLNN_00185 	 PF01541
JNLLNN_00210 	 PF00436
JNLLNN_00245 	 PF18836
JNLLNN_00255 	 PF09588
EJLPCD_00025 	 PF04466;PF17288
EJLPCD_00030 	 PF16510
EJLPCD_00040 	 PF09306
EJLPCD_00045 	 PF11651
EJLPCD_00050 	 PF11650
EJLPCD_00055 	 PF11134
EJLPCD_00060 	 PF11134
EJLPCD_00075 	 PF13392
EJLPCD_00095 	 PF10983
EJLPCD_00120 	 PF11860
EJLPCD_00175 	 PF01555
EJLPCD_00195 	 PF04519
EJLPCD_00230 	 PF00271
EJLPCD_00235 	 PF04480
EJLPCD_00245 	 PF09588
EJLPCD_00260 	 PF13148;PF01807
MLHNBL_00050 	 PF04466;PF17289
MLHNBL_00080 	 PF17236
MLHNBL_00090 	 PF03567
MLHNBL_00125 	 PF13884
MLHNBL_00150 	 PF18013
MLHNBL_00155 	 PF03629
MLHNBL_00190 	 PF00182
MLHNBL_00320 	 PF07102
MLHNBL_00385 	 PF19062;PF00805
MLHNBL_00395 	 PF02086
OPDJDE_00005 	 PF09118
OPDJDE_00025 	 PF00959
OPDJDE_00045 	 PF11134
OPDJDE_00090 	 PF01541;PF07460
OPDJDE_00120 	 PF11753
OPDJDE_00145 	 PF02739
OPDJDE_00155 	 PF02511
OPDJDE_00175 	 PF01367;PF02739;PF00476;PF01612
OPDJDE_00185 	 PF00476
OPDJDE_00255 	 PF12224
OPDJDE_00265 	 PF14395
OPDJDE_00270 	 PF07722
OPDJDE_00280 	 PF00383
OPDJDE_00360 	 PF17289
OPDJDE_00370 	 PF00166
OPDJDE_00415 	 PF00150
OPDJDE_00435 	 PF08241
BFEENG_00005 	 PF17289
BFEENG_00010 	 PF17289
BFEENG_00020 	 PF01555;PF02195
BFEENG_00030 	 PF19905
BFEENG_00040 	 PF13362
BFEENG_00045 	 PF13362
BFEENG_00070 	 PF05037
BFEENG_00095 	 PF00271;PF04851
BFEENG_00110 	 PF08774
BFEENG_00120 	 PF11195
BFEENG_00180 	 PF13539
BFEENG_00215 	 PF09008;PF12708
BFEENG_00290 	 PF11134
BFEENG_00315 	 PF11651
BFEENG_00340 	 PF16510
BFEENG_00350 	 PF17289
BFEENG_00355 	 PF17289
