HBDOFJ_00295 	 PF18823.4
APNACP_00020 	  PF00805.25
APNACP_00020 	  PF00805.25
APNACP_00020 	  PF00805.25
APNACP_00020 	  PF00805.25
APNACP_00040 	 PF13479.9
APNACP_00075 	 PF13102.9
APNACP_00155 	 PF13692.9
APNACP_00160 	 PF08241.15
GIFNPM_00010 	 PF00386.24
GIFNPM_00040 	 PF01510.28
GIFNPM_00115 	 PF00436.28
GIFNPM_00130 	 PF00270.32
GIFNPM_00130 	  PF00271.34
GIFNPM_00145 	 PF05272.14
GIFNPM_00240 	 PF18834.4
IEKHKF_00005 	 PF00176.26
IEKHKF_00030 	 PF00580.24
IEKHKF_00030 	  PF00580.24
IEKHKF_00030 	  PF13245.9
IEKHKF_00030 	  PF13361.9
IEKHKF_00030 	  PF13538.9
IEKHKF_00060 	 PF13245.9
IEKHKF_00060 	  PF13538.9
IEKHKF_00060 	  PF13604.9
IEKHKF_00325 	 PF10162.12
IEKHKF_00360 	 PF06414.15
IEKHKF_00360 	  PF13671.9
IEKHKF_00385 	 PF09956.12
IEKHKF_00405 	 PF20557.1
IEKHKF_00455 	 PF07484.15
ODPDKD_00020 	 PF13392.9
ODPDKD_00035 	 PF00772.24
ODPDKD_00035 	  PF03796.18
ODPDKD_00035 	  PF06745.16
ODPDKD_00035 	  PF13481.9
ODPDKD_00180 	 PF13392.9
ODPDKD_00230 	 PF18812.4
ODPDKD_00230 	  PF18857.4
ODPDKD_00270 	 PF03245.16
ODPDKD_00315 	 PF16786.8
POOIID_00075 	 PF13472.9
KNPIKK_00035 	 PF18853.4
KNPIKK_00035 	  PF18857.4
KNPIKK_00145 	 PF08279.15
KNPIKK_00175 	 PF00092.31
KNPIKK_00260 	 PF16786.8
MOKHBM_00115 	 PF14090.9
MOKHBM_00145 	 PF00805.25
MOKHBM_00145 	  PF00805.25
MOKHBM_00145 	  PF00805.25
MOKHBM_00145 	  PF00805.25
MOKHBM_00145 	  PF00805.25
JFFMLO_00060 	 PF00805.25
JFFMLO_00060 	  PF00805.25
JFFMLO_00060 	  PF00805.25
JFFMLO_00060 	  PF00805.25
JFFMLO_00060 	  PF00805.25
JFFMLO_00060 	  PF00805.25
JFFMLO_00115 	 PF20081.2
JFFMLO_00195 	 PF05118.18
JFFMLO_00220 	 PF00075.27
JFFMLO_00220 	  PF13456.9
JFFMLO_00325 	 PF17288.5
JFFMLO_00330 	 PF04466.16
PINELI_00010 	 PF05257.19
PINELI_00165 	 PF04466.16
PINELI_00170 	 PF16677.8
PINELI_00220 	 PF03796.18
PINELI_00220 	  PF06745.16
PINELI_00220 	  PF13481.9
PINELI_00230 	 PF12705.10
PINELI_00355 	 PF13384.9
HPGKAO_00010 	 PF05345.15
HPGKAO_00060 	 PF10721.12
HPGKAO_00065 	 PF00196.22
HPGKAO_00065 	  PF08281.15
HPGKAO_00200 	 PF00717.26
HPGKAO_00350 	 PF01833.27
MAOFEK_00125 	 PF01022.23
GNBOMD_00040 	 PF13476.9
GNBOMD_00040 	  PF13514.9
GNBOMD_00095 	 PF02739.19
GNBOMD_00125 	 PF03819.20
GNBOMD_00155 	 PF00176.26
GNBOMD_00470 	 PF05876.15
GNBOMD_00545 	 PF08748.14
GNBOMD_00550 	 PF08809.14
GNBOMD_00565 	 PF09718.13
INIOMA_00060 	 PF13884.9
INIOMA_00175 	 PF08299.14
INIOMA_00185 	 PF13730.9
INIOMA_00210 	 PF00805.25
INIOMA_00350 	 PF13365.9
INIOMA_00375 	 PF13205.9
NLKLEB_00180 	 PF08748.14
NLKLEB_00185 	 PF08809.14
NLKLEB_00225 	 PF00959.22
JMDFGL_00330 	 PF01381.25
JMDFGL_00330 	  PF13560.9
JMDFGL_00490 	 PF13392.9
JMDFGL_00545 	 PF14279.9
JMDFGL_00550 	 PF01183.23
JMDFGL_00640 	 PF13392.9
HMHLBF_00290 	 PF05876.15
HMHLBF_00290 	  PF20454.1
HMHLBF_00295 	 PF08765.14
HHCHGI_00080 	 PF18834.4
HHCHGI_00190 	 PF03537.16
HHCHGI_00240 	 PF03796.18
HHCHGI_00240 	  PF13401.9
HHCHGI_00240 	  PF13481.9
HHCHGI_00265 	 PF00004.32
