ILNFGC_00150 	 PF10926
IJLFBM_00450 	 PF01555
IJLFBM_00460 	 PF10991
IJLFBM_00470 	 PF10926
IJLFBM_00490 	 PF01469
IJLFBM_00525 	 PF15943
IJLFBM_00530 	 PF09250;PF05272
IJLFBM_00590 	 PF12236
IJLFBM_00595 	 PF12236
LEIGEP_00030 	 PF04466;PF17288
LEIGEP_00055 	 PF12728
LEIGEP_00075 	 PF17236
LEIGEP_00210 	 PF08291
LEIGEP_00295 	 PF00805;PF01469
LEIGEP_00310 	 PF00717
LEIGEP_00315 	 PF01381
LEIGEP_00345 	 PF05866
LEIGEP_00365 	 PF08707
POHEKA_00030 	 PF01510;PF01520
POHEKA_00125 	 PF03837
POHEKA_00130 	 PF09588
POHEKA_00135 	 PF09588
POHEKA_00140 	 PF00271;PF04851
POHEKA_00170 	 PF05272
POHEKA_00175 	 PF13362;PF05272
POHEKA_00180 	 PF05272
POHEKA_00190 	 PF12728
POHEKA_00205 	 PF00583
POHEKA_00215 	 PF12236
POHEKA_00260 	 PF16190
POHEKA_00290 	 PF18834
MEHPCB_00020 	 PF13884
MEHPCB_00025 	 PF01464
MEHPCB_00050 	 PF16640;PF18998;PF07790
MEHPCB_00070 	 PF05838;PF09374
MEHPCB_00150 	 PF00589
MEHPCB_00180 	 PF20530
MEHPCB_00185 	 PF00023;PF12796
MEHPCB_00195 	 PF07105
MEHPCB_00200 	 PF00436
MEHPCB_00205 	 PF04404
MEHPCB_00240 	 PF10544
GHBCBL_00025 	 PF18823
GHBCBL_00130 	 PF16190
GHBCBL_00210 	 PF12236
GHBCBL_00220 	 PF00583
GHBCBL_00250 	 PF03592
GHBCBL_00345 	 PF00589
GHBCBL_00355 	 PF03837
GHBCBL_00360 	 PF05565
GHBCBL_00400 	 PF07484
PHFNNI_00010 	 PF11134
PHFNNI_00015 	 PF11134
PHFNNI_00020 	 PF11134
PHFNNI_00185 	 PF00847;PF13392
PHFNNI_00195 	 PF11195
PHFNNI_00210 	 PF00436
PHFNNI_00215 	 PF00847
PHFNNI_00230 	 PF09588
PHFNNI_00265 	 PF20081
PHFNNI_00295 	 PF19905
PHFNNI_00325 	 PF17289
PHFNNI_00330 	 PF16510
PHFNNI_00350 	 PF11651
IMHCKC_00010 	 PF00182
IMHCKC_00030 	 PF14301
IMHCKC_00085 	 PF03864
IMHCKC_00100 	 PF01343
IMHCKC_00105 	 PF05136
IMHCKC_00110 	 PF02831
IMHCKC_00125 	 PF05876;PF20454
IMHCKC_00130 	 PF13392
IMHCKC_00160 	 PF07120;PF01844
IMHCKC_00255 	 PF12684
IMHCKC_00260 	 PF00929
IMHCKC_00270 	 PF05443
IMHCKC_00295 	 PF07505
IMHCKC_00315 	 PF01555
