PFMPJB_00005 	 PF13229
COAFMD_00265 	 PF11351
COAFMD_00285 	 PF07102
COAFMD_00320 	 PF09588
COAFMD_00330 	 PF04404
COAFMD_00360 	 PF01381
HEHNDD_00010 	 PF12684
HEHNDD_00055 	 PF01555
HEHNDD_00085 	 PF13539
HEHNDD_00095 	 PF06035
HEHNDD_00110 	 PF13229;PF03906
HEHNDD_00150 	 PF00583
HEHNDD_00170 	 PF19821
HEHNDD_00195 	 PF12236
HEHNDD_00215 	 PF05866
HEHNDD_00220 	 PF00772
HEHNDD_00225 	 PF15943
PJKCMF_00060 	 PF01807
PJKCMF_00070 	 PF04266
PJKCMF_00080 	 PF00145
PJKCMF_00085 	 PF00145
PJKCMF_00090 	 PF13538
PJKCMF_00095 	 PF01555
PJKCMF_00100 	 PF00271;PF04851
PJKCMF_00115 	 PF12684
PJKCMF_00155 	 PF18925
PJKCMF_00215 	 PF20155
PJKCMF_00230 	 PF18906
PJKCMF_00240 	 PF18906
PJKCMF_00260 	 PF05135
PJKCMF_00275 	 PF05065
PJKCMF_00285 	 PF04586
PJKCMF_00290 	 PF04233;PF04860
PJKCMF_00295 	 PF04860
PJKCMF_00315 	 PF02195
DLGOIN_00030 	 PF01381
DLGOIN_00060 	 PF04404
DLGOIN_00065 	 PF09588
DLGOIN_00075 	 PF13392
DLGOIN_00080 	 PF00436
DLGOIN_00175 	 PF18925
DLGOIN_00195 	 PF05204
DLGOIN_00210 	 PF13252
DLGOIN_00225 	 PF20387
DLGOIN_00240 	 PF00028;PF08266;PF08374
DLGOIN_00285 	 PF15780
DLGOIN_00300 	 PF10282
DLGOIN_00305 	 PF03692
DLGOIN_00335 	 PF18823;PF18857
DLGOIN_00370 	 PF13986
DLGOIN_00380 	 PF16786
DLGOIN_00385 	 PF07105
DLGOIN_00400 	 PF02086
DLGOIN_00410 	 PF07505
DLGOIN_00415 	 PF07505
GGBAAE_00040 	 PF18906
GGBAAE_00105 	 PF01551
GGBAAE_00175 	 PF08774
GGBAAE_00195 	 PF01555
GGBAAE_00200 	 PF01555
GGBAAE_00225 	 PF09643
GGBAAE_00270 	 PF00847
GGBAAE_00315 	 PF16250
GGBAAE_00335 	 PF01555
GGBAAE_00345 	 PF01555
GGBAAE_00360 	 PF17289
GGBAAE_00380 	 PF04233;PF04860
GGBAAE_00390 	 PF04586
JGMNBE_00055 	 PF18454
JGMNBE_00085 	 PF17236
JGMNBE_00170 	 PF13362
JGMNBE_00175 	 PF13362
JGMNBE_00205 	 PF05037
JGMNBE_00215 	 PF13392
JGMNBE_00220 	 PF00271;PF04851
JGMNBE_00230 	 PF00271;PF04851
JGMNBE_00250 	 PF00176
JGMNBE_00305 	 PF11753
FFHMJL_00005 	 PF03009
FFHMJL_00010 	 PF01343
FFHMJL_00015 	 PF01343
FFHMJL_00055 	 PF08813
FFHMJL_00065 	 PF08809
FFHMJL_00075 	 PF10145
FFHMJL_00085 	 PF00877
FFHMJL_00090 	 PF13550
FFHMJL_00100 	 PF13550
FFHMJL_00135 	 PF01555
FFHMJL_00140 	 PF02511
FFHMJL_00145 	 PF00383
FFHMJL_00155 	 PF13476
FFHMJL_00160 	 PF13476
FFHMJL_00175 	 PF01068;PF14743
FFHMJL_00205 	 PF00145
FFHMJL_00220 	 PF02739;PF00476
FFHMJL_00235 	 PF01258
FFHMJL_00255 	 PF03819
FFHMJL_00270 	 PF12843;PF00929
FFHMJL_00295 	 PF00271;PF00176
FFHMJL_00315 	 PF07589
FFHMJL_00385 	 PF10765
FFHMJL_00395 	 PF04448
FFHMJL_00665 	 PF05876
FFHMJL_00670 	 PF05876
FFHMJL_00675 	 PF05876
HEAMEK_00015 	 PF00565
HEAMEK_00025 	 PF01381
HEAMEK_00035 	 PF13392
HEAMEK_00045 	 PF00772;PF03796
HEAMEK_00070 	 PF05772
HEAMEK_00180 	 PF13392
HEAMEK_00205 	 PF13302
HEAMEK_00245 	 PF18857
HEAMEK_00300 	 PF03245
HEAMEK_00310 	 PF00589
HEAMEK_00335 	 PF07505
HEAMEK_00345 	 PF16786
HEAMEK_00375 	 PF09588
HEAMEK_00380 	 PF04404
GDPHJH_00010 	 PF00805
GDPHJH_00095 	 PF08774
GDPHJH_00110 	 PF10544
GDPHJH_00130 	 PF13860
GDPHJH_00160 	 PF04466
GDPHJH_00165 	 PF16510
GDPHJH_00180 	 PF11651
GDPHJH_00200 	 PF11134
GDPHJH_00245 	 PF12708
GDPHJH_00250 	 PF13229
GDPHJH_00260 	 PF05838;PF09374
GDPHJH_00285 	 PF00149
GDPHJH_00365 	 PF00145
IKNHCD_00005 	 PF02086
IKNHCD_00015 	 PF00805
IKNHCD_00105 	 PF08774
IKNHCD_00120 	 PF10544
IKNHCD_00140 	 PF13860
IKNHCD_00170 	 PF04466
IKNHCD_00175 	 PF16510
IKNHCD_00190 	 PF11651
IKNHCD_00200 	 PF08241
IKNHCD_00205 	 PF08241
IKNHCD_00210 	 PF11650
IKNHCD_00215 	 PF11134
IKNHCD_00255 	 PF13229
IKNHCD_00265 	 PF05257
CLCHML_00075 	 PF05708
CLCHML_00150 	 PF13871;PF04851
CLCHML_00170 	 PF18857
CLCHML_00185 	 PF13356;PF00589
CLCHML_00205 	 PF16786
CLCHML_00210 	 PF05772
CLCHML_00225 	 PF13362
CLCHML_00235 	 PF01507
CLCHML_00290 	 PF00717
CLCHML_00315 	 PF04404
CLCHML_00325 	 PF09588
CLCHML_00425 	 PF00959
CLCHML_00455 	 PF13252
CLCHML_00470 	 PF20387
AMOMNL_00030 	 PF03472;PF00486
AMOMNL_00075 	 PF06381
AMOMNL_00085 	 PF04233
AMOMNL_00100 	 PF09979
AMOMNL_00110 	 PF19774
AMOMNL_00120 	 PF13262
AMOMNL_00130 	 PF12691
AMOMNL_00140 	 PF06199
AMOMNL_00160 	 PF09718
AMOMNL_00175 	 PF03903
AMOMNL_00195 	 PF00959
AMOMNL_00330 	 PF04404
AMOMNL_00360 	 PF01656
NGFMPI_00025 	 PF00959
NGFMPI_00100 	 PF08241
NGFMPI_00115 	 PF01973
NGFMPI_00160 	 PF10983;PF13884
NGFMPI_00260 	 PF00271;PF04851
NGFMPI_00265 	 PF00271;PF04851
NGFMPI_00315 	 PF04404
NGFMPI_00320 	 PF09588
NGFMPI_00355 	 PF01139
FEAOBD_00015 	 PF05565
FEAOBD_00085 	 PF00959
FEAOBD_00145 	 PF01973
FEAOBD_00155 	 PF11651
FEAOBD_00170 	 PF00112
FEAOBD_00180 	 PF16510
FEAOBD_00185 	 PF04466;PF17288
FEAOBD_00210 	 PF01555
FEAOBD_00215 	 PF12762
FEAOBD_00230 	 PF05772
FEAOBD_00235 	 PF07102
FEAOBD_00295 	 PF00805
OJFOEN_00010 	 PF03592
OJFOEN_00015 	 PF00847;PF13392
OJFOEN_00020 	 PF04466
OJFOEN_00025 	 PF16510
OJFOEN_00055 	 PF11134
OJFOEN_00065 	 PF00583
OJFOEN_00110 	 PF01510
OJFOEN_00175 	 PF20530
OJFOEN_00240 	 PF01555
OJFOEN_00245 	 PF01555
JMKMCC_00015 	 PF05048;PF12708
JMKMCC_00030 	 PF01510
JMKMCC_00045 	 PF03704;PF00496
JMKMCC_00075 	 PF00583
JMKMCC_00105 	 PF16510
JMKMCC_00110 	 PF04466
JMKMCC_00115 	 PF03592
JMKMCC_00150 	 PF13362;PF05272
JMKMCC_00170 	 PF13538
JMKMCC_00175 	 PF16473
JMKMCC_00235 	 PF20530
JMKMCC_00240 	 PF20530
JMKMCC_00270 	 PF13392
GCDNKJ_00050 	 PF13871
GCDNKJ_00085 	 PF00959
GCDNKJ_00090 	 PF20137
GCDNKJ_00125 	 PF13619
GCDNKJ_00130 	 PF13876
GCDNKJ_00135 	 PF11195
GCDNKJ_00140 	 PF10065
GCDNKJ_00195 	 PF05772
GCDNKJ_00235 	 PF01381
GCDNKJ_00425 	 PF00583
GCDNKJ_00480 	 PF02368
ALLIEO_00010 	 PF00041;PF07679
ALLIEO_00045 	 PF13871
ALLIEO_00080 	 PF00959
ALLIEO_00085 	 PF20137
ALLIEO_00090 	 PF10721
ALLIEO_00120 	 PF13619
ALLIEO_00125 	 PF13876
ALLIEO_00130 	 PF11195
ALLIEO_00135 	 PF10065
ALLIEO_00190 	 PF05772
ALLIEO_00230 	 PF01381
ALLIEO_00420 	 PF00583
OALHDE_00040 	 PF01555;PF02195
OALHDE_00060 	 PF05876;PF20454
OALHDE_00090 	 PF10124
OALHDE_00095 	 PF09956
OALHDE_00110 	 PF10948
OALHDE_00115 	 PF04984;PF17482
OALHDE_00135 	 PF07157
OALHDE_00160 	 PF04865
OALHDE_00165 	 PF10076
OALHDE_00205 	 PF02195
OALHDE_00225 	 PF04266
OALHDE_00240 	 PF12728
