PAMBAF_00005 	 PF00436
MPLNOF_00120 	 PF13884
MPLNOF_00175 	 PF00622
MPLNOF_00205 	 PF19889
MPLNOF_00220 	 PF01844
MPLNOF_00225 	 PF08299
MPLNOF_00235 	 PF01555
MPLNOF_00255 	 PF05866
MPLNOF_00260 	 PF12961
MPLNOF_00275 	 PF00847;PF13392
MPLNOF_00355 	 PF04404
MPLNOF_00360 	 PF09588
MPLNOF_00365 	 PF06147;PF04098
EPEGPB_00025 	 PF08707;PF13362
EPEGPB_00055 	 PF13356;PF00589
EPEGPB_00070 	 PF05930
EPEGPB_00080 	 PF08707;PF13362
EPEGPB_00085 	 PF08707;PF13362
EPEGPB_00110 	 PF13356;PF00589
BFDCIA_00015 	 PF07484
BFDCIA_00050 	 PF01381
BFDCIA_00070 	 PF05565
BFDCIA_00075 	 PF03837
BFDCIA_00170 	 PF03592
BFDCIA_00200 	 PF00583
BFDCIA_00210 	 PF12236
BFDCIA_00270 	 PF16190
EAHMOL_00005 	 PF01555
EAHMOL_00065 	 PF11860
EAHMOL_00090 	 PF10983
EAHMOL_00100 	 PF08291
EAHMOL_00105 	 PF13392
EAHMOL_00120 	 PF11134
EAHMOL_00125 	 PF11650
EAHMOL_00130 	 PF11651
EAHMOL_00135 	 PF09306
EAHMOL_00140 	 PF16510
EAHMOL_00145 	 PF04466;PF17288
EAHMOL_00170 	 PF13148;PF01807
EAHMOL_00185 	 PF09588
EAHMOL_00195 	 PF04480
EAHMOL_00200 	 PF00271;PF04851
EAHMOL_00240 	 PF18836
MKHOGK_00020 	 PF04448
MKHOGK_00055 	 PF00589
MKHOGK_00070 	 PF18925
MKHOGK_00085 	 PF07484
MKHOGK_00180 	 PF17236
MKHOGK_00225 	 PF20057
MKHOGK_00245 	 PF05866
MKHOGK_00265 	 PF00717
MKHOGK_00300 	 PF00436
MKHOGK_00305 	 PF00805
ILKKOG_00040 	 PF00271;PF04851
ILKKOG_00045 	 PF00145
ILKKOG_00095 	 PF08708;PF09250
ILKKOG_00100 	 PF13362
ILKKOG_00135 	 PF17289
ILKKOG_00140 	 PF17289
ILKKOG_00145 	 PF17289
ILKKOG_00150 	 PF06381
ILKKOG_00155 	 PF06381
ILKKOG_00160 	 PF04233
ILKKOG_00165 	 PF04233
ILKKOG_00175 	 PF09979;PF00293
ILKKOG_00200 	 PF09950
ILKKOG_00210 	 PF13262
ILKKOG_00240 	 PF11863
ILKKOG_00255 	 PF11863
ILKKOG_00325 	 PF18946;PF18352
ILKKOG_00355 	 PF04865
ILKKOG_00360 	 PF11041
ILKKOG_00365 	 PF07484
ILKKOG_00415 	 PF02086
ILKKOG_00420 	 PF02086
HIECMG_00035 	 PF04545
HIECMG_00055 	 PF12843;PF00929
HIECMG_00085 	 PF01555
HIECMG_00090 	 PF01555
HIECMG_00110 	 PF02739;PF00476
HIECMG_00125 	 PF01068;PF14743
HIECMG_00155 	 PF13476;PF02463
HIECMG_00165 	 PF00383
HIECMG_00170 	 PF02511
HIECMG_00175 	 PF07087
HIECMG_00180 	 PF00959
HIECMG_00190 	 PF13550
HIECMG_00195 	 PF00877
HIECMG_00200 	 PF09931;PF09356
HIECMG_00205 	 PF09343
HIECMG_00210 	 PF01464;PF09718
HIECMG_00215 	 PF10145
HIECMG_00220 	 PF08809
HIECMG_00225 	 PF08748
HIECMG_00230 	 PF08813
HIECMG_00265 	 PF01541;PF07460
HIECMG_00280 	 PF01343
HIECMG_00325 	 PF05876
HIECMG_00375 	 PF08346
HIECMG_00435 	 PF04002
HIECMG_00520 	 PF12323;PF01385;PF07282
HIECMG_00605 	 PF00271;PF00176
BGNLGP_00030 	 PF04545
BGNLGP_00050 	 PF12843;PF00929
BGNLGP_00080 	 PF01555
BGNLGP_00085 	 PF01555
BGNLGP_00105 	 PF02739;PF00476
BGNLGP_00120 	 PF01068;PF14743
BGNLGP_00145 	 PF13476;PF02463
BGNLGP_00155 	 PF00383
BGNLGP_00160 	 PF02511
BGNLGP_00165 	 PF07087
BGNLGP_00170 	 PF00959
BGNLGP_00180 	 PF13550
BGNLGP_00185 	 PF00877
BGNLGP_00190 	 PF09931;PF09356
BGNLGP_00195 	 PF09343
BGNLGP_00200 	 PF10145
BGNLGP_00205 	 PF08809
BGNLGP_00210 	 PF08748
BGNLGP_00215 	 PF08813
BGNLGP_00250 	 PF01541;PF07460
BGNLGP_00265 	 PF01343
BGNLGP_00310 	 PF05876
BGNLGP_00360 	 PF08346;PF07906
BGNLGP_00440 	 PF04002
BGNLGP_00585 	 PF00271;PF00176
IKJMPL_00025 	 PF07120
IKJMPL_00040 	 PF01555
IKJMPL_00115 	 PF00583
IKJMPL_00120 	 PF09588
IKJMPL_00135 	 PF00929
IKJMPL_00140 	 PF13476
IKJMPL_00195 	 PF00959
IKJMPL_00210 	 PF00078
IKJMPL_00225 	 PF05635
IKJMPL_00230 	 PF16190
IKJMPL_00250 	 PF00210
IKJMPL_00320 	 PF02026
IKJMPL_00335 	 PF13252
IKJMPL_00355 	 PF13876
IKJMPL_00370 	 PF03592
IKJMPL_00395 	 PF05866
