GCOMPG_00080 	 PF11860
COFEFK_00140 	 PF07679
COFEFK_00145 	 PF01343
COFEFK_00150 	 PF02924
COFEFK_00155 	 PF03864
COFEFK_00180 	 PF20155
COFEFK_00185 	 PF20155
COFEFK_00220 	 PF00959
COFEFK_00225 	 PF20137
COFEFK_00280 	 PF07799
COFEFK_00330 	 PF13392
COFEFK_00335 	 PF00145
COFEFK_00360 	 PF03837
COFEFK_00365 	 PF09588
BGPLGB_00005 	 PF13229
BGPLGB_00025 	 PF20530
BGPLGB_00055 	 PF01844
BGPLGB_00060 	 PF07105
BGPLGB_00065 	 PF04404
BGPLGB_00100 	 PF08299
BGPLGB_00105 	 PF09681
BGPLGB_00120 	 PF20057
BGPLGB_00145 	 PF13392
BGPLGB_00165 	 PF00072;PF00486
BGPLGB_00195 	 PF01973
BGPLGB_00250 	 PF13884
JMJGMH_00005 	 PF12708
JMJGMH_00015 	 PF13539
JMJGMH_00120 	 PF01555
JMJGMH_00125 	 PF07505
JMJGMH_00210 	 PF08774
JMJGMH_00225 	 PF10544
JMJGMH_00245 	 PF13860
JMJGMH_00285 	 PF04466
JMJGMH_00290 	 PF16510
JMJGMH_00300 	 PF11651
JMJGMH_00315 	 PF11650
JMJGMH_00320 	 PF11134
JMJGMH_00330 	 PF16190
JMJGMH_00345 	 PF08291
GBBFEM_00050 	 PF00182
GBBFEM_00125 	 PF01555
GBBFEM_00175 	 PF09588
GBBFEM_00205 	 PF01381
GBBFEM_00240 	 PF00308;PF08299
GBBFEM_00250 	 PF06356
GBBFEM_00270 	 PF17289
GBBFEM_00285 	 PF16510
GBBFEM_00300 	 PF20106
GBBFEM_00310 	 PF11650
GBBFEM_00325 	 PF11134
