PFMPJB_00005 	 PF12708.10
JGMNBE_00215 	  PF13392.9
JGMNBE_00220 	 PF00270.32
JGMNBE_00220 	  PF00271.34
JGMNBE_00255 	 PF13936.9
FFHMJL_00060 	 PF08748.14
FFHMJL_00065 	 PF08809.14
FFHMJL_00075 	 PF09718.13
FFHMJL_00095 	 PF13550.9
FFHMJL_00160 	 PF13476.9
FFHMJL_00160 	  PF13514.9
FFHMJL_00220 	 PF02739.19
FFHMJL_00255 	 PF03819.20
FFHMJL_00295 	 PF00176.26
FFHMJL_00665 	 PF05876.15
FFHMJL_00670 	 PF05876.15
HEAMEK_00015 	 PF00565.20
HEAMEK_00035 	 PF13392.9
HEAMEK_00045 	 PF03796.18
HEAMEK_00045 	  PF06745.16
HEAMEK_00045 	  PF13481.9
HEAMEK_00180 	 PF13392.9
HEAMEK_00245 	 PF18857.4
HEAMEK_00300 	 PF03245.16
HEAMEK_00345 	 PF16786.8
GDPHJH_00010 	 PF00805.25
GDPHJH_00010 	  PF00805.25
GDPHJH_00010 	  PF00805.25
GDPHJH_00080 	 PF13481.9
GDPHJH_00110 	 PF10544.12
GDPHJH_00190 	 PF08241.15
GDPHJH_00260 	 PF05838.15
IKNHCD_00015 	 PF00805.25
IKNHCD_00015 	  PF00805.25
IKNHCD_00015 	  PF00805.25
IKNHCD_00090 	 PF13481.9
IKNHCD_00120 	 PF10544.12
IKNHCD_00225 	 PF16190.8
IKNHCD_00255 	 PF12708.10
CLCHML_00150 	 PF00271.34
CLCHML_00170 	 PF18857.4
CLCHML_00200 	 PF00226.34
CLCHML_00205 	 PF16786.8
CLCHML_00225 	 PF13362.9
CLCHML_00255 	 PF00271.34
CLCHML_00290 	 PF00717.26
CLCHML_00425 	 PF00959.22
CLCHML_00425 	  PF10721.12
AMOMNL_00030 	 PF00486.31
AMOMNL_00170 	 PF13385.9
AMOMNL_00360 	 PF01656.26
AMOMNL_00360 	  PF13614.9
NGFMPI_00060 	 PF13884.9
NGFMPI_00190 	 PF04466.16
FEAOBD_00270 	 PF14090.9
FEAOBD_00295 	 PF00805.25
FEAOBD_00295 	  PF00805.25
FEAOBD_00295 	  PF00805.25
FEAOBD_00295 	  PF00805.25
OJFOEN_00015 	 PF13392.9
OJFOEN_00060 	 PF18454.4
OJFOEN_00070 	 PF13884.9
OJFOEN_00110 	 PF01510.28
OJFOEN_00175 	 PF20530.1
OJFOEN_00235 	 PF10546.12
OJFOEN_00295 	 PF01541.27
OJFOEN_00305 	 PF13481.9
JMKMCC_00070 	 PF13884.9
JMKMCC_00080 	 PF18454.4
JMKMCC_00150 	 PF05272.14
JMKMCC_00150 	  PF13362.9
JMKMCC_00150 	  PF13662.9
JMKMCC_00170 	 PF13245.9
JMKMCC_00170 	  PF13538.9
JMKMCC_00170 	  PF13604.9
JMKMCC_00175 	 PF16473.8
JMKMCC_00240 	 PF20530.1
GCDNKJ_00050 	 PF13871.9
GCDNKJ_00125 	 PF13619.9
GCDNKJ_00445 	 PF18823.4
ALLIEO_00045 	 PF13871.9
ALLIEO_00090 	 PF10721.12
ALLIEO_00120 	 PF13619.9
ALLIEO_00445 	 PF18823.4
OALHDE_00060 	 PF05876.15
OALHDE_00060 	  PF20454.1
OALHDE_00115 	 PF04984.17
OALHDE_00115 	  PF17482.5
OALHDE_00140 	 PF06890.15
OALHDE_00140 	  PF18946.3
OALHDE_00225 	 PF04266.17
